title,description,record_count,uuid,imf,doi,dwca
"ODONATA, DRAGONFLIES OF GUAM","This dataset contains the digitized treatments in Plazi based on the original book chapter SWEZEY, O. H., WILLIAMS, F. X. (1942): ODONATA, DRAGONFLIES OF GUAM. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 172: 3-6, DOI: http://doi.org/10.5281/zenodo.5159515",70,FFDFF02AC57CFFB7FF89B354FF83F875,InsectsOfGuamI.172.3-6.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5159515"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/FFDFF02AC57CFFB7FF89B354FF83F875.zip"">dwca</a>"
Wasps of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Wasps of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 184-187, DOI: http://doi.org/10.5281/zenodo.5160297",72,B525F8594A7852476D53FFF00A6FFFD2,InsectsOfGuamI.172.184-187.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160297"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/B525F8594A7852476D53FFF00A6FFFD2.zip"">dwca</a>"
Coccidae of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Fullaway, D. T. (1946): Coccidae of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 189: 157-162, DOI: http://doi.org/10.5281/zenodo.5164252",79,0C07FFD2F91AFFFBFF82FF9EFFC41E3E,InsectsOfGuamII.189.157-162.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5164252"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/0C07FFD2F91AFFFBFF82FF9EFFC41E3E.zip"">dwca</a>"
"Ichneumonidae, Evaniidae, And Braconidae Of Guam","This dataset contains the digitized treatments in Plazi based on the original book chapter Fullaway, D. T. (1946): Ichneumonidae, Evaniidae, And Braconidae Of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 221-227, DOI: http://doi.org/10.5281/zenodo.5156759",79,6C420D32855DFFCA221EFFCCE940FF9E,InsectsOfGuamII.189.221-227.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5156759"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/6C420D32855DFFCA221EFFCCE940FF9E.zip"">dwca</a>"
"Lepidoptera, Butterflies of Guam","This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Lepidoptera, Butterflies of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Biship Museum: 31-38, DOI: http://doi.org/10.5281/zenodo.5160043",105,FF8A6512AA2D474D9945FF80FFCFFFAC,InsectsOfGuamI.172.30-38.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160043"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/FF8A6512AA2D474D9945FF80FFCFFFAC.zip"">dwca</a>"
"Homoptera, Fulgoroidea and Jassoidea of Guam","This dataset contains the digitized treatments in Plazi based on the original book chapter Metcalf, Z. P. (1946): Homoptera, Fulgoroidea and Jassoidea of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 189: 105-148, DOI: http://doi.org/10.5281/zenodo.5174008",119,BD58FF95EB59FFFFFFB04B578875FD6D,InsectsOfGuamII.189.105-148.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5174008"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/BD58FF95EB59FFFFFFB04B578875FD6D.zip"">dwca</a>"
Orthoptera And Related Orders Orthoptera And Related Orders Of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1946): Orthoptera And Related Orders Orthoptera And Related Orders Of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 3-8, DOI: http://doi.org/10.5281/zenodo.5160233",129,D04FFFF5FF9DFFF4BF68FFAAFFBBFFD8,InsectsOfGuamII.189.3-8.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160233"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/D04FFFF5FF9DFFF4BF68FFAAFFBBFFD8.zip"">dwca</a>"
Notes On Some Fulgoroidea Of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1946): Notes On Some Fulgoroidea Of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 149-156, DOI: http://doi.org/10.5281/zenodo.5164064",131,FFAAFFEAFFDBFFCAFFFEFFCD8671FFE9,InsectsOfGuamII.189.149-156.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5164064"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/FFAAFFEAFFDBFFCAFFFEFFCD8671FFE9.zip"">dwca</a>"
Notes On Some Guam Chalcidoidea,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1946): Notes On Some Guam Chalcidoidea. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 211-219, DOI: http://doi.org/10.5281/zenodo.5173516",135,8F4F9461FF8AFFE4E503FFAC8F5EFFD2,InsectsOfGuamII.189.211-219.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5173516"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/8F4F9461FF8AFFE4E503FFAC8F5EFFD2.zip"">dwca</a>"
Hymenoptera Formicidae of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Hymenoptera Formicidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 175-183, DOI: http://doi.org/10.5281/zenodo.5160270",189,F27607317E645A2FB552FF8416577654,InsectsOfGuamI.172.175-183.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160270"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/F27607317E645A2FB552FF8416577654.zip"">dwca</a>"
Curculionidae of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Zimmerman, Elwood C. (1942): Curculionidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 73-146, DOI: http://doi.org/10.5281/zenodo.5159964",246,2A01FF71FFF051065F5BAF5AFFFAFF96,InsectsOfGuamI.172.73-146.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5159964"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/2A01FF71FFF051065F5BAF5AFFFAFF96.zip"">dwca</a>"
Hemiptera Heteroptera of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934",397,1054DB21F50C3F6D4A60EF68FFE4C168,InsectsOfGuamII.189.11-103.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5173934"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/1054DB21F50C3F6D4A60EF68FFE4C168.zip"">dwca</a>"
"Lepidoptera, Geometridae, Arctiidae, Agrotidae, and Pyralidae of Guam","This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1946): Lepidoptera, Geometridae, Arctiidae, Agrotidae, and Pyralidae of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 189: 163-185, DOI: http://doi.org/10.5281/zenodo.5165313",436,FF8AFFC0E94BFFA1FFCF823D9276034F,InsectsOfGuamII.189.163-185.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5165313"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/FF8AFFC0E94BFFA1FFCF823D9276034F.zip"">dwca</a>"
Miscellaneous Families of Guam Coleoptera,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Miscellaneous Families of Guam Coleoptera. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 150-171, DOI: http://doi.org/10.5281/zenodo.5167701",491,CB52FF9DFFBE1B09FFDAFFB507064636,InsectsOfGuamI.172.150-171.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5167701"">doi</a>","<a href=""https://tb.plazi.org/GgServer/dwca/CB52FF9DFFBE1B09FFDAFFB507064636.zip"">dwca</a>"
