occurrenceID	taxonID	catalogNumber	collectionCode	institutionCode	typeStatus	verbatimLabel	sex	individualCount	eventDate	recordedBy	recordNumber	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	country	stateProvince	municipality	locality	references	basisOfRecord
026F1569FFD3FFF439229473FCE8F968.mc.3AAEAE22FFD3FFF4396394DBFC66FB5A	026F1569FFD3FFF439229473FCE8F968.taxon					Sumay Road, June 23, Swezey.		1	1936-06-23	O. H. Swezey											Sumay Road	http://treatment.plazi.org/id/026F1569FFD3FFF439229473FCE8F968	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF439649281FAEDFCED	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Tarague Beach, on cotton flowers, May 17, Swezey		1	1936-05-17	O. H. Swezey											Tarague Beach	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF43D169281FB44FC87	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Machanao, June 30, community nest in large, partly rotten breadfruit stump, with dozens of bees nesting in easily excavated wood, Usinger, Swezey		1	1936-06-30	R. L. Usinger & O. H.Swezey											Machanao	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF43C829369FE48FC72	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Orote Peninsula, Sept. 27, Swezey		1	1936-09-27	O. H. Swezey											Orote Peninsula	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF439FC9325FD5DFC72	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Yigo, May 19		1	1936-05-19	O. H. Swezey											Yigo	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF43AE99325FC19FC72	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Oct. 18, Swezey		1	1936-10-18	O. H. Swezey											Yigo	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF539CA96F7FBE9F924	026F1569FFD2FFF4398A9638FE49FE76.taxon					Ritidian Pt., April 16, Bryan		1	1936-04-16	E. H. Bryan											Tarague Beach	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53C1C96F7FA0BF924	026F1569FFD2FFF4398A9638FE49FE76.taxon					Agana, Aug. 13, Rowley		1	1936-08-13	Rowley											Agana	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53E3E96F7FDA7F910	026F1569FFD2FFF4398A9638FE49FE76.taxon					Barrigada, June, Swezey		1	1936-06	O. H. Swezey											Barrigada	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53A629683FCA0F910	026F1569FFD2FFF4398A9638FE49FE76.taxon					Piti, May 12		1	1936-05-12	O. H. Swezey											Piti	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
