key|collectedFrom
3913652518|reared from caterpillars on morning-glory leaves
3332081481|at light
3332081454|
3978667301|
3913652385|at light
3913652498|pupa found in spun-together leaves on Eugenia tree, moth issued June 21
3913652457|reared from egg found on rose petal
3913652386|
3332081489|
3332081469|three small looping larvae on Styphelia in the hills above the town, one of which was reared
3332081461|
3332081486|
3332081362|at light
3332081307|
3913652511|at light
3913652448|at light
3913652356|at light
3913652352|
3332081358|this moth was reared quite abundantlyl from caterpillars found feeding in decaying leaves at base of rice plants
3913652423|in grass
3986697307|in grass
3986697304|at light
3332081413|collected in fallow rice field
3913652400|at light
3913652449|at light
3913652326|at light
3986697301|
3986697303|
3913652354|ten specimens reared from leafroller caterpilllars on agalunde (a shrub for which I could get only the Chamorro name)
3913652402|
3332081354|
3332081422|at light
3332081470|reared from spiny amaranth
3986697306|recorded as a beet pest. We found its caterpillars abundant on spiny amaranth, Apanteles guamensis var. was reared from some of the larvae. Only a few moths were collected or reared.
3332081319|at light
3332081365|
3332081390|
3914039302|
3913652505|
3332081419|one reared from larva on leaf Barringtonia speciosa
3913652454|at light
3913652334|on screen
3979574302|the larvae very abundant in pods of Crotalaria saltiana in a fallow corn field. Some specimens were reared from these larvae, a few were collected.
3913652497|the larvae very abundant in pods of Crotalaria saltiana in a fallow corn field. Some specimens were reared from these larvae, a few were collected.
3332081416|
3332081360|
3332081466|
3913652460|at light
3913652309|at light
3913652452|at light
3913652349|at light
3913652485|at light
3913652303|at light
3913652347|at light
3913652414|at light
3913652479|at light
3913652499|at light
3332081404|
3332081476|two moths reared from larvae feeding among thrips-infested terminal leaves of small-leaved Ficus
3332081405|two moths reared from larvae on leaves of Peltophorum inerme
3913652486|on screen
3913652492|at light
3332081398|reared from larvae in old seeds of Ochrocarpus obovalis
3332081325|
3332081491|swept from sedges
3332081472|
3913652461|at light
3913652345|at light
3978866302|
3978866304|
3332081406|larvae numerous beneath webs on under side of leaves of Guettarda speciosa
3979574301|eight reared from same tree, parasite, Macrocentrus pallidus (Fullaway) was often reared from the larvae of this moth
3336062302|two specimens reared from leafrollers on pigeon peas
3336062315|at light
3913652377|at light
3913652467|at light
3913652477|at light
3913652378|at light
3913652447|at light
3913652302|at light
3913652491|at light
3913652471|at light
3913652469|at light
3913652306|at light
3913652360|at light
3913652425|at light
3913652517|at light
3913652502|at light
3913652443|all reared from larvae on leaves of Gymnosporia thompsonii
